id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
ぎこちない,English,Japanese,Adjective2,getting more Adjective,怖い / scary,これからもっと怖くなりますよ,,これからもっと怖くなりますよ,,1
,English,Japanese,Adjective2,getting more Adjective,怖い / scary,この怖さはやばい,,この怖さはやばい,,1
11,,,,,,,,,,1
コミュニケーション障害,,,,,,,,,,1
,,,,,,,,,,1
12,,,,,,,,,,1
サディスト,,,,,,,,,,1
,,,,,,,,,,1
13,,,,,,,,,,1
サド,,,,,,,,,,1
,,,,,,,,,,1
14,,,,,,,,,,1
サバサバ,,,,,,,,,,1
,,,,,,,,,,1
15,,,,,,,,,,1
シスコン,,,,,,,,,,1
,,,,,,,,,,1
16,,,,,,,,,,1
しつこい,,,,,,,,,,1
,,,,,,,,,,1
17,,,,,,,,,,1
じゃれる,,,,,,,,,,1
,,,,,,,,,,1
18,,,,,,,,,,1
しらけた性格,,,,,,,,,,1
,,,,,,,,,,1
19,,,,,,,,,,1
ずぼらな性格,,,,,,,,,,1
,,,,,,,,,,1
20,,,,,,,,,,1
すり寄る,,,,,,,,,,1
,,,,,,,,,,1
21,,,,,,,,,,1
ずるい,,,,,,,,,,1
,,,,,,,,,,1
22,,,,,,,,,,1
せっかち,,,,,,,,,,1
,,,,,,,,,,1
23,,,,,,,,,,1
センスがいい,,,,,,,,,,1
,,,,,,,,,,1
24,,,,,,,,,,1
ちゃっかりしている,,,,,,,,,,1
,,,,,,,,,,1
25,,,,,,,,,,1
つよがり,,,,,,,,,,1
,,,,,,,,,,1
26,,,,,,,,,,1
でしゃばる,,,,,,,,,,1
,,,,,,,,,,1
27,,,,,,,,,,1
ナルシスト,,,,,,,,,,1
,,,,,,,,,,1
28,,,,,,,,,,1
ニヒリスト,,,,,,,,,,1
,,,,,,,,,,1
29,,,,,,,,,,1
ネガティブ,,,,,,,,,,1
,,,,,,,,,,1
30,,,,,,,,,,1
ノーと言えない人,,,,,,,,,,1
,,,,,,,,,,1
31,,,,,,,,,,1
のんびり,,,,,,,,,,1
,,,,,,,,,,1
32,,,,,,,,,,1
はぐらかす,,,,,,,,,,1
,,,,,,,,,,1
33,,,,,,,,,,1
はしたない,,,,,,,,,,1
,,,,,,,,,,1
34,,,,,,,,,,1
ひとでなし,,,,,,,,,,1
,,,,,,,,,,1
35,,,,,,,,,,1
ひょうきん,,,,,,,,,,1
,,,,,,,,,,1
36,,,,,,,,,,1
ファザコン,,,,,,,,,,1
,,,,,,,,,,1
37,,,,,,,,,,1
プラス思考,,,,,,,,,,1
,,,,,,,,,,1
38,,,,,,,,,,1
へこたれない,,,,,,,,,,1
,,,,,,,,,,1
39,,,,,,,,,,1
へりくだる,,,,,,,,,,1
,,,,,,,,,,1
40,,,,,,,,,,1
マイペース,,,,,,,,,,1
,,,,,,,,,,1
41,,,,,,,,,,1
マザコン,,,,,,,,,,1
,,,,,,,,,,1
42,,,,,,,,,,1
マゾ,,,,,,,,,,1
,,,,,,,,,,1
43,,,,,,,,,,1
マゾヒスト,,,,,,,,,,1
,,,,,,,,,,1
44,,,,,,,,,,1
やせ我慢,,,,,,,,,,1
,,,,,,,,,,1
45,,,,,,,,,,1
よく笑う・笑い上戸,,,,,,,,,,1
,,,,,,,,,,1
46,,,,,,,,,,1
よそよそしい,,,,,,,,,,1
,,,,,,,,,,1
47,,,,,,,,,,1
リアリスト,,,,,,,,,,1
,,,,,,,,,,1
48,,,,,,,,,,1
ロマンチスト,,,,,,,,,,1
,,,,,,,,,,1
49,,,,,,,,,,1
ロリコン,,,,,,,,,,1
,,,,,,,,,,1
50,,,,,,,,,,1
わがまま,,,,,,,,,,1
